CustomerId,SubscriptionStatus,CallsPerMonth
2868-SNELZ,Cancelled,43
4322-RCYMT,Cancelled,21
6680-NENYN,Cancelled,42
2088-IEBAU,Active,5
7982-VCELR,Active,54
1343-EHPYB,Cancelled,28
6035-BXTTY,Active,27
6885-PKOAM,Active,18
7520-HQWJU,Active,30
9639-BUJXT,Active,12
5924-SNGKP,Active,7
0021-IKXGC,Active,24
2034-GDRCN,Cancelled,27
8966-SNIZF,Active,35
6243-OZGFH,Active,10
4654-DLAMQ,Active,7
0513-RBGPE,Active,29
5160-UXJED,Active,33
4115-NZRKS,Active,15
0219-YTZUE,Cancelled,30
0623-IIHUG,Cancelled,15
4572-DVCGN,Cancelled,49
3351-NGXYI,Active,26
8984-EYLLL,Active,31
9057-MSWCO,Cancelled,53
9833-TGFHX,Active,28
9294-TDIPC,Active,29
5229-DTFYB,Active,36
0104-PPXDV,Active,28
5176-LMJXE,Active,46
3583-KRKMD,Active,24
1010-DIAUQ,Cancelled,42
9069-LGEUL,Active,14
7302-ZHMHP,Active,23
9571-EDEBV,Active,22
3520-FJGCV,Active,54
6563-VRERX,Active,45
0259-GBZSH,Cancelled,6
6122-EFVKN,Active,44
2805-EDJPQ,Active,32
6862-CQUMB,Active,17
7156-MXBJE,Active,25
6158-HDPXZ,Active,23
9601-BRXPO,Cancelled,8
2863-IMQDR,Active,12
5686-CMAWK,Active,31
5651-CRHKQ,Active,30
6905-NIQIN,Cancelled,50
8204-YJCLA,Active,46
5167-ZFFMM,Cancelled,12
6583-SZVGP,Active,6
4895-TMWIR,Cancelled,37
0533-BNWKF,Cancelled,52
1708-PBBOA,Active,49
8782-LKFPK,Active,38
5522-JBWMO,Active,38
3597-MVHJT,Active,16
9774-NRNAU,Active,50
0224-RLWWD,Active,37
9967-ATRFS,Active,54
3951-NJCVI,Active,12
2977-CEBSX,Active,21
0177-PXBAT,Active,18
6599-CEBNN,Cancelled,50
2519-ERQOJ,Active,36
5876-QMYLD,Active,48
2277-AXSDC,Active,21
9442-JTWDL,Active,36
0979-PHULV,Cancelled,31
3067-SVMTC,Active,11
5495-GPSRW,Active,52
7606-BPHHN,Active,9
4742-DRORA,Active,13
0111-KLBQG,Active,19
4800-VHZKI,Cancelled,43
7989-CHGTL,Cancelled,15
0334-GDDSO,Cancelled,26
4163-NCJAK,Active,30
5233-AOZUF,Active,18
5973-EJGDP,Active,53
1996-DBMUS,Active,16
7916-VCCPB,Active,44
4686-GEFRM,Active,43
5249-QYHEX,Active,10
0578-SKVMF,Cancelled,9
5564-NEMQO,Cancelled,33
2233-FAGXV,Active,11
5605-IYGFG,Active,29
7663-ZTEGJ,Active,13
3935-TBRZZ,Active,31
8111-BKVDS,Active,22
2055-SIFSS,Active,19
2806-MLNTI,Active,8
8734-DKSTZ,Active,55
4360-PNRQB,Active,22
6152-ONASV,Active,28
9063-ZGTUY,Cancelled,53
7781-HVGMK,Active,13
2181-UAESM,Active,9
2957-LOLHO,Cancelled,48
6048-NJXHX,Active,7
2320-SLKMB,Active,14
4980-URKXC,Active,50
4376-KFVRS,Active,10
5886-VLQVU,Active,55
3577-AMVUX,Active,16
0771-WLCLA,Active,38
5628-RKIFK,Active,33
0206-TBWLC,Active,45
2937-FTHUR,Active,19
1910-FMXJM,Active,31
7752-XUSCI,Cancelled,20
4110-PFEUZ,Cancelled,43
0732-OCQOC,Active,46
5168-MSWXT,Active,53
1090-ESELR,Active,51
8592-PLTMQ,Active,54
5760-WRAHC,Active,10
8847-GEOOQ,Active,15
0256-LTHVJ,Cancelled,17
4785-FCIFB,Active,17
8313-NDOIA,Active,30
5149-CUZUJ,Active,29
0942-KOWSM,Active,9
4237-CLSMM,Active,19
1452-VOQCH,Active,32
4719-UMSIY,Active,42
6614-VBEGU,Active,27
0880-TKATG,Cancelled,9
3811-VBYBZ,Cancelled,41
1480-BKXGA,Active,6
2996-XAUVF,Active,9
9076-AXYIK,Active,48
5968-XQIVE,Active,33
8896-RAZCR,Active,23
4640-UHDOS,Cancelled,47
4933-IKULF,Active,28
3583-EKAPL,Cancelled,20
1304-BCCFO,Active,54
4104-PVRPS,Active,9
9399-APLBT,Cancelled,43
2359-KMGLI,Cancelled,30
3780-DDGSE,Active,18
4431-EDMIQ,Active,18
0306-JAELE,Cancelled,30
6227-HWPWX,Cancelled,45
0486-LGCCH,Active,54
0447-BEMNG,Cancelled,11
4612-SSVHJ,Active,8
5168-MQQCA,Active,12
5949-XIKAE,Cancelled,46
7971-HLVXI,Active,40
9094-AZPHK,Active,47
3649-JPUGY,Active,35
4472-LVYGI,Active,30
8372-JUXUI,Cancelled,6
3552-CTCYF,Active,42
6778-YSNIH,Active,21
0388-EOPEX,Cancelled,25
5756-OZRIO,Active,43
6579-JPICP,Active,50
8205-OTCHB,Cancelled,36
4134-BSXLX,Active,41
0505-SPOOW,Active,9
6235-VDHOM,Cancelled,22
7783-YKGDV,Cancelled,36
4374-YMUSQ,Active,15
4513-CXYIX,Active,53
3957-HHLMR,Active,28
7803-XOCCZ,Active,37
5736-YEJAX,Active,10
5609-CEBID,Cancelled,46
8981-FJGLA,Active,53
7218-HKQFK,Cancelled,15
4636-QRJKY,Cancelled,38
1135-LMECX,Active,50
4332-MUOEZ,Active,35
8535-SFUTN,Active,41
5956-VKDTT,Cancelled,43
8677-HDZEE,Active,39
2475-MROZF,Active,22
9412-GHEEC,Cancelled,20
3482-ABPKK,Active,47
6705-LXORM,Active,37
0257-ZESQC,Cancelled,5
7531-GQHME,Active,49
5174-ITUMV,Active,38
4109-CYRBD,Active,43
0913-XWSCN,Active,36
6825-UYPFK,Cancelled,23
8397-MVTAZ,Cancelled,30
0750-EBAIU,Active,50
8606-CIQUL,Active,32
3571-DPYUH,Active,13
7601-GNDYK,Active,43
0356-OBMAC,Active,35
8067-NIOYM,Active,6
1403-GYAFU,Active,32
4234-XTNEA,Active,27
1297-VQDRP,Active,31
9282-IZGQK,Cancelled,43
5348-CAGXB,Active,49
0621-HJWXJ,Active,19
5844-QVTAT,Active,14
8905-IAZPF,Active,31
5394-MEITZ,Active,18
6859-QNXIQ,Active,29
2782-LFZVW,Active,42
2866-IKBTM,Active,49
1342-JPNKI,Cancelled,21
2817-NTQDO,Cancelled,44
7129-AZJDE,Active,8
6986-IJDHX,Cancelled,37
2560-PPCHE,Active,38
4676-MQUEA,Active,25
8138-EALND,Active,36
3580-HYCSP,Active,35
1352-HNSAW,Active,19
2075-PUEPR,Active,11
1982-FEBTD,Active,32
5301-GAUUY,Cancelled,18
5791-KAJFD,Active,48
2654-VBVPB,Active,13
1154-HYWWO,Active,27
2501-XWWTZ,Active,8
3716-UVSPD,Active,11
6815-ABQFQ,Active,35
7343-EOBEU,Active,37
3701-SFMUH,Active,52
6103-LIANB,Active,21
7319-VENRZ,Active,40
5846-NEQVZ,Active,21
6967-QIQRV,Active,35
5781-RFZRP,Active,44
0939-YAPAF,Cancelled,55
0308-IVGOK,Active,28
7293-LSCDV,Active,55
7025-WCBNE,Active,28
5756-JYOJT,Active,5
4710-FDUIZ,Cancelled,15
6030-REHUX,Active,37
9548-LIGTA,Active,35
5150-LJNSR,Active,46
8270-RKSAP,Active,22
6522-YRBXD,Active,8
2640-LYMOV,Active,36
1218-VKFPE,Cancelled,42
3627-FHKBK,Cancelled,50
2865-TCHJW,Cancelled,33
1423-BMPBQ,Active,55
2393-DIVAI,Active,34
5192-EBGOV,Cancelled,23
4568-KNYWR,Active,21
8752-IMQOS,Active,12
0742-LAFQK,Active,31
0795-LAFGP,Active,9
0619-OLYUR,Active,31
5512-IDZEI,Active,38
0459-SPZHJ,Active,5
0215-BQKGS,Active,14
9244-ZVAPM,Active,48
0719-SYFRB,Cancelled,5
8208-EUMTE,Active,55
5172-MIGPM,Active,18
1710-RCXUS,Active,47
0374-FIUCA,Active,28
5839-SUYVZ,Active,24
5173-ZXXXL,Active,11
1096-ADRUX,Active,32
2001-MCUUW,Active,12
2731-GJRDG,Active,32
4723-BEGSG,Active,48
6516-NKQBO,Active,44
8672-OAUPW,Active,19
8207-DMRVL,Active,50
3419-SNJJD,Cancelled,8
6543-CPZMK,Cancelled,49
4765-OXPPD,Cancelled,48
2804-ETQDK,Active,51
6689-VRRTK,Active,6
7138-GIRSH,Active,47
9396-ZSFLL,Active,23
6464-KEXXH,Active,44
7134-MJPDY,Active,16
5240-CAOYT,Active,36
4059-IIEBK,Active,24
4881-JVQOD,Active,17
0516-UXRMT,Active,44
4851-BQDNX,Active,11
5148-HKFIR,Active,9
1009-IRMNA,Cancelled,8
3003-CMDUU,Active,47
5016-IBERQ,Active,36
6797-UCJHZ,Active,49
2469-DTSGX,Active,5
4554-YGZIH,Cancelled,29
5099-BAILX,Cancelled,8
9931-KGHOA,Active,13
1775-KWJKQ,Active,29
7665-VIGUD,Active,38
9411-TPQQV,Active,35
7207-RMRDB,Cancelled,52
7954-MLBUN,Active,37
2077-DDHJK,Active,35
4913-EHYUI,Cancelled,27
0195-IESCP,Cancelled,44
9574-BOSMD,Active,55
4580-TMHJU,Cancelled,28
0970-ETWGE,Cancelled,30
4908-XAXAY,Active,50
8404-VLQFB,Active,37
1626-ERCMM,Cancelled,53
0887-HJGAR,Cancelled,34
2391-IPLOP,Active,32
5644-PDMZC,Cancelled,24
3509-GWQGF,Active,30
9576-ANLXO,Cancelled,7
2024-BASKD,Cancelled,50
5845-BZZIB,Active,45
1140-UKVZG,Active,49
4160-AMJTL,Cancelled,27
5183-SNMJQ,Active,21
8100-PNJMH,Active,12
7838-LAZFO,Active,36
4464-JCOLN,Cancelled,32
2085-JVGAD,Active,54
5650-VDUDS,Cancelled,40
8095-WANWK,Active,15
3030-ZKIWL,Active,33
9565-FLVCG,Active,16
8755-OGKNA,Active,37
2800-VEQXM,Active,35
7538-GWHML,Cancelled,10
5533-RJFTJ,Active,31
3859-CVCET,Cancelled,25
0214-JHPFW,Active,17
5642-MHDQT,Active,5
3088-FVYWK,Active,52
3276-HDUEG,Cancelled,40
9092-GDZKO,Active,53
0823-HSCDJ,Cancelled,17
3729-OWRVL,Active,36
2324-AALNO,Active,11
0822-GAVAP,Cancelled,20
5760-IFJOZ,Active,26
2826-UWHIS,Active,21
1448-PWKYE,Cancelled,5
7501-IWUNG,Active,35
4957-TREIR,Active,24
7251-LJBQN,Active,32
8040-MNRTF,Active,17
1536-HBSWP,Active,45
5313-FPXWG,Active,31
0067-DKWBL,Cancelled,17
0946-FKYTX,Active,5
5076-YVXCM,Active,45
8262-COGGB,Active,38
6663-JOCQO,Active,20
9620-QJREV,Active,46
2276-YDAVZ,Cancelled,20
2682-KEVRP,Active,23
2480-JZOSN,Active,12
0078-XZMHT,Active,28
5896-NPFWW,Cancelled,5
9978-HYCIN,Active,50
8338-QIUNR,Active,17
1525-LNLOJ,Active,41
9450-TRJUU,Active,29
1766-GKNMI,Active,54
6942-LBFDP,Active,6
1456-TWCGB,Active,45
7133-VBDCG,Cancelled,19
7596-ZYWBB,Active,49
8329-UTMVM,Active,45
3014-WJKSM,Active,35
3347-YJZZE,Active,42
1029-QFBEN,Cancelled,48
7929-DMBCV,Active,8
9661-JALZV,Active,7
5433-KYGHE,Active,47
4312-KFRXN,Active,26
5575-TPIZQ,Active,29
0114-IGABW,Active,28
9944-AEXBM,Active,33
1853-ARAAQ,Active,32
6952-OMNWB,Active,36
4697-LUPSU,Active,53
8434-VGEQQ,Active,40
4952-YSOGZ,Cancelled,44
1589-AGTLK,Cancelled,25
5244-IRFIH,Cancelled,30
6549-YMFAW,Active,25
4950-HKQTE,Active,21
6786-OBWQR,Active,29
2684-EIWEO,Cancelled,35
2753-JMMCV,Active,40
6439-GTPCA,Cancelled,53
6621-YOBKI,Active,45
1216-JWVUX,Active,16
7564-GHCVB,Active,17
1173-NOEYG,Active,50
7595-EHCDL,Active,12
6647-ZEDXT,Active,37
2521-NPUZR,Active,19
1307-TVUFB,Active,31
7503-MIOGA,Active,12
4381-MHQDC,Active,7
6923-JHPMP,Active,52
5138-WVKYJ,Cancelled,13
4018-PPNDW,Active,51
1635-FJFCC,Active,39
2499-AJYUA,Active,18
6919-ELBGL,Active,53
3966-HRMZA,Active,26
6425-JWTDV,Active,26
8405-IGQFX,Active,48
8224-IVVPA,Active,20
9477-LGWQI,Active,19
1410-RSCMR,Active,39
3115-CZMZD,Active,33
0139-IVFJG,Active,28
6683-VLCTZ,Cancelled,45
5730-DBDSI,Active,55
0030-FNXPP,Active,30
2189-WWOEW,Cancelled,47
5684-FJVYR,Active,26
4013-GUXND,Active,15
1894-IGFSG,Cancelled,25
7379-POKDZ,Cancelled,25
1266-NZYUI,Active,25
7969-FFOWG,Active,22
4718-DHSMV,Active,6
5175-WLYXL,Active,15
7817-OMJNA,Active,12
8728-SKJLR,Active,15
3137-NYQQI,Active,13
7706-DZNKK,Active,42
0236-HFWSV,Cancelled,13
3900-AQPHZ,Cancelled,10
5842-POCOP,Cancelled,53
2037-XJFUP,Cancelled,21
8823-RLPWL,Active,15
9505-SQFSW,Active,37
7314-OXENN,Cancelled,41
3758-CKOQL,Active,7
0322-CHQRU,Cancelled,26
5676-CFLYY,Active,30
7521-AFHAB,Active,32
0285-INHLN,Active,43
4678-DVQEO,Cancelled,18
5125-CNDSP,Active,22
0691-IFBQW,Cancelled,10
4992-LTJNE,Active,45
2202-OUTMO,Active,9
0810-BDHAW,Active,33
0229-LFJAF,Active,30
7131-ZQZNK,Active,37
3442-ZHHCC,Active,49
5726-CVNYA,Active,24
9871-ELEYA,Active,38
4257-GAESD,Active,35
5173-WXOQV,Active,35
2040-OBMLJ,Active,16
6286-ZHAOK,Active,36
3807-XHCJH,Active,51
3009-JWMPU,Cancelled,19
5671-RQRLP,Active,30
1450-GALXR,Cancelled,43
8859-AXJZP,Active,20
3174-AKMAS,Active,6
3138-BKYAV,Cancelled,48
9926-PJHDQ,Active,41
7382-DFJTU,Active,11
2798-NYLMZ,Active,47
4289-DTDKW,Cancelled,25
1820-TQVEV,Cancelled,36
2239-JALAW,Cancelled,17
4853-RULSV,Cancelled,14
8098-TDCBU,Active,29
3551-GAEGL,Active,53
4785-NKHCX,Active,29
3196-NVXLZ,Active,52
6275-YDUVO,Cancelled,41
0036-IHMOT,Active,45
0115-TFERT,Cancelled,19
4178-EGMON,Active,8
4220-TINQT,Active,21
5318-YKDPV,Active,43
7975-TZMLR,Active,23
0295-QVKPB,Active,7
4335-BSMJS,Active,35
2311-QYMUQ,Cancelled,43
3643-AHCFP,Cancelled,36
9146-JRIOX,Active,39
3104-OWCGK,Cancelled,47
5337-IIWKZ,Active,7
9101-BWFSS,Cancelled,47
9650-VBUOG,Active,21
3487-EARAT,Active,37
2672-TGEFF,Active,34
9231-ZJYAM,Cancelled,36
4250-WAROZ,Active,14
8184-WMOFI,Active,29
6982-SSHFK,Cancelled,23
6092-QZVPP,Active,35
4625-LAMOB,Active,42
0727-BMPLR,Cancelled,24
0392-BZIUW,Active,5
1038-ZAGBI,Cancelled,35
6549-NNDYT,Active,5
3027-ZTDHO,Cancelled,50
0422-OHQHQ,Active,13
6916-HIJSE,Active,24
2316-ESMLS,Active,49
9778-OGKQZ,Active,38
7408-OFWXJ,Active,5
6007-TCTST,Active,46
2252-NKNSI,Active,45
8713-IGZSO,Active,33
7905-TVXTA,Active,8
7695-PKLCZ,Active,23
2382-BCKQJ,Cancelled,42
8374-UULRV,Active,54
2207-NHRJK,Cancelled,43
3224-DFQNQ,Active,29
5275-PMFUT,Active,42
4795-UXVCJ,Active,28
9777-IQHWP,Active,29
0947-MUGVO,Cancelled,9
9944-HKVVB,Cancelled,55
4124-MMETB,Cancelled,12
3671-SHRSP,Cancelled,20
0979-MOZQI,Active,33
2732-ISEZX,Active,42
3313-QKNKB,Cancelled,35
0323-XWWTN,Active,54
1937-OTUKY,Active,55
1573-LGXBA,Active,10
1764-VUUMT,Active,12
5073-WXOYN,Cancelled,37
4713-ZBURT,Active,19
3050-GBUSH,Active,37
0207-MDKNV,Cancelled,28
7876-AEHIG,Active,52
7945-HLKEA,Active,38
9342-VNIMQ,Active,27
9851-KIELU,Cancelled,14
3523-BRGUW,Active,54
3908-BLSYF,Cancelled,25
3199-NPKCN,Active,19
5170-PTRKA,Active,40
4661-NJEUX,Active,52
2123-AGEEN,Active,18
1258-YMZNM,Active,43
0048-LUMLS,Active,17
7549-MYGPK,Cancelled,9
5898-IGSLP,Active,15
3804-RVTGV,Cancelled,44
6259-WJQLC,Active,48
9227-LUNBG,Cancelled,48
7997-EASSD,Active,14
0730-KOAVE,Active,10
8975-SKGRX,Active,14
0678-RLHVP,Active,36
4315-MURBD,Cancelled,15
2267-FPIMA,Active,12
1051-GEJLJ,Active,13
9734-YWGEX,Cancelled,45
2719-BDAQO,Cancelled,27
5285-MVEHD,Active,30
0379-DJQHR,Active,19
0781-LKXBR,Cancelled,52
5543-QDCRY,Active,51
0297-RBCSG,Active,13
4694-PHWFW,Active,24
0835-JKADZ,Active,54
1907-UBQFC,Cancelled,53
7508-SMHXL,Active,38
3865-YIOTT,Active,42
5993-BQHEA,Active,26
6024-RUGGH,Active,18
6513-EECDB,Cancelled,8
3956-CJUST,Active,30
4079-WWQQQ,Active,24
6103-BOCOU,Active,23
5149-TGWDZ,Active,55
7471-WNSUF,Active,11
8942-DBMHZ,Active,5
4301-VVZKA,Active,21
9199-PWQVC,Active,39
4824-GUCBY,Active,52
5393-HJZSM,Active,42
7074-IEVOJ,Cancelled,13
9625-QSTYE,Cancelled,51
0862-PRCBS,Active,29
8812-ZRHFP,Active,13
5146-CBVOE,Active,32
0454-OKRCT,Active,22
5787-KXGIY,Active,23
4750-ZRXIU,Cancelled,13
4198-VFOEA,Active,18
6630-UJZMY,Active,27
5709-LVOEQ,Active,8
6400-BWQKW,Cancelled,7
2692-AQCPF,Active,23
0347-UBKUZ,Active,39
0835-DUUIQ,Active,47
